ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
626 REANEY AVE,01/20/2012 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.963795, -93.0741431)"
448 LEXINGTON PKWY N,07/02/2020 12:00:00 AM,Commercial,1,1,8,33500,"(44.954623, -93.14592716)"
1717 SELBY AVE,08/03/2020 12:00:00 AM,Single Family Residential,2,4,13,33400,"(44.94671057, -93.17282126)"
1066 DESOTO ST,07/03/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97328121, -93.0808871)"
1079 MARYLAND AVE E,06/11/2018 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.9776901, -93.05486022)"
1608 MAYWOOD ST,08/17/2020 12:00:00 AM,Single Family Residential,1,5,10,30300,"(44.98964813, -93.12721445)"
767 4TH ST E,01/09/2009 12:00:00 AM,Duplex,2,7,4,34500,"(44.9576794, -93.06707715)"
1355 PAYNE AVE,01/06/2017 12:00:00 AM,Single Family Residential,3,6,5,30602,"(44.98216596, -93.07379823)"
742 EUCLID ST,12/22/2016 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.954632, -93.0650233)"
1366 FREMONT AVE,08/26/2020 12:00:00 AM,Single Family Residential,2,7,4,34602,"(44.9575129, -93.04276943)"
500 SNELLING AVE N,06/05/2020 12:00:00 AM,Commercial,1,4,11,32100,"(44.95629952, -93.16676279)"
1784 MONTANA AVE E,01/18/2019 12:00:00 AM,Commercial,1,6,2,30702,"(44.98734059, -93.02478535)"
342 THOMAS AVE,08/22/2019 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.95922701, -93.11445849)"
904 CHARLOTTE ST,10/23/2013 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96830995, -93.1702813)"
1470 KENT ST,01/21/2020 12:00:00 AM,Single Family Residential,2,5,6,30400,"(44.98542697, -93.12343498)"
225 WINIFRED ST W,07/11/2016 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.93149246, -93.09512042)"
853 CONWAY ST,12/30/2010 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95595519, -93.06441724)"
575 PARK ST,11/13/2007 12:00:00 AM,Single Family Residential,3,1,7,42800,"(44.95867481, -93.10394814)"
1225 WHITE BEAR AVE N,06/25/2020 12:00:00 AM,Single Family Residential,2,6,2,30704,"(44.97827187, -93.0255046)"
694 SHERBURNE AVE,08/06/2012 12:00:00 AM,Duplex,2,1,7,32500,"(44.95648896, -93.1295784)"
1258 FARRINGTON ST,11/23/2020 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97903339, -93.11339257)"
948 BEECH ST,07/14/2020 12:00:00 AM,Single Family Residential,1,7,4,31701,"(44.9620124, -93.05990148)"
879 6TH ST E,11/04/2008 12:00:00 AM,Single Family Residential,2,7,4,33100,"(44.96044535, -93.06336716)"
1786 HAWTHORNE AVE E,12/01/2016 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.97825935, -93.02490216)"
2200 LARPENTEUR AVE E,11/20/2018 12:00:00 AM,Commercial,2,6,2,30702,"(44.99087821, -93.00838025)"
958 CARROLL AVE,01/08/2021 12:00:00 AM,Single Family Residential,1,1,8,33800,"(44.95017022, -93.14059344)"
648 BUSH AVE,08/27/2010 12:00:00 AM,Multi-family Residential,2,6,5,31500,"(44.96469162, -93.07308266)"
1803 IVY AVE E,08/16/2017 12:00:00 AM,Duplex,2,6,2,30702,"(44.98125333, -93.02415953)"
