9/30/2020,ENV-20-18840,Litter,"640 OBRIEN St, SOUTH BEND IN 46619",640 OBRIEN,Review Case for Collections,
9/30/2020,ENV-20-18839,Litter,"2115 RENFREW Ct, SOUTH BEND IN 46614",2115 RENFREW,Closed,
9/30/2020,ENV-20-18838,Litter,"1609 N ADAMS St, SOUTH BEND IN 46628",1609 N ADAMS,Review Case for Collections,
9/30/2020,ENV-20-18837,Vegetation,"1609 N ADAMS St, SOUTH BEND IN 46628",1609 N ADAMS,Review Case for Collections,
9/30/2020,ENV-20-18836,Grass and Weeds,"1720 S TAYLOR St, SOUTH BEND IN 46613",1720 S TAYLOR,Review Case for Collections,
9/30/2020,HSG-20-00146,Sub-standard Housing,"610 DUNDEE St, SOUTH BEND IN 46619",610 DUNDEE,Stern Letter Request,
9/30/2020,ENV-20-18835,Grass and Weeds,"201 S KENMORE St, SOUTH BEND IN 46619",201 S KENMORE,Closed,
9/30/2020,ENV-20-18834,Grass and Weeds,"226 S KENMORE St, SOUTH BEND IN",226 S KENMORE,Closed,
9/30/2020,ENV-20-18833,Litter,"225 S KENMORE St, SOUTH BEND IN 46619",225 S KENMORE,Closed,
9/30/2020,ENV-20-18832,Litter,"709 HARRISON Ave, SOUTH BEND IN 46616",709 HARRISON,Closed,
9/30/2020,ENV-20-18831,Vegetation,"718 HARRISON Ave, SOUTH BEND IN 46616",718 HARRISON,Review Case for Collections,
9/30/2020,ENV-20-18830,Litter,"718 HARRISON Ave, SOUTH BEND IN 46616",718 HARRISON,Review Case for Collections,
9/30/2020,ENV-20-18829,Litter,"1013 ALTGELD St, SOUTH BEND IN 46614",1013 ALTGELD,Closed,
9/30/2020,ENV-20-18828,Vegetation,"1615 N WELLINGTON St, SOUTH BEND IN 46628",1615 N WELLINGTON,Closed,
9/30/2020,ENV-20-18827,Vegetation,"1214 N MEADE St, SOUTH BEND IN 46628",1214 N MEADE,Closed,
9/30/2020,ENV-20-18826,Litter,"1608 N WELLINGTON St, SOUTH BEND IN 46628",1608 N WELLINGTON,Closed,
9/30/2020,ENV-20-18825,Grass and Weeds,"2515 HUMBOLDT St, SOUTH BEND IN 46613",2515 HUMBOLDT,Closed,
9/30/2020,ENV-20-18824,Vegetation,"3517 ELWOOD Ave, SOUTH BEND IN 46628",3517 ELWOOD,Closed,
9/30/2020,ENV-20-18823,Litter,"2515 HUMBOLDT St, SOUTH BEND IN 46613",2515 HUMBOLDT,Closed,
9/30/2020,ENV-20-18822,Litter,"1910 LINCOLN Way W, SOUTH BEND IN 466282622",1910 LINCOLN ay,Closed,
9/30/2020,ENV-20-18821,Litter,"1022 E MADISON St, SOUTH BEND IN 46617",1022 E MADISON,Closed,
9/30/2020,ENV-20-18820,Litter,"509 E ECKMAN St, SOUTH BEND IN 46614",509 E ECKMAN,Closed,
9/30/2020,ENV-20-18819,Vegetation,"314 N OLIVE St, SOUTH BEND IN 46616",314 N OLIVE,Review Case for Collections,
9/30/2020,ENV-20-18818,Litter,"2211 E SOLOMON, SOUTH BEND IN 46615",2211 E,Closed,
9/30/2020,ENV-20-18817,Vegetation,"829 N ELMER St, SOUTH BEND IN 46628",829 N ELMER,Review Case for Collections,
9/30/2020,ENV-20-18816,Litter,"814 N OLIVE St, SOUTH BEND IN 46628",814 N OLIVE,Review Case for Collections,
9/30/2020,ENV-20-18815,Litter,"622 E ECKMAN St, SOUTH BEND IN 46614",622 E ECKMAN,Closed,
9/30/2020,ENV-20-18814,Litter,"1721 STERLING St, SOUTH BEND IN 46635",1721 STERLING,Closed,
9/30/2020,ENV-20-18813,Litter,"725 N ELMER St, SOUTH BEND IN 46628",725 N ELMER,Closed,
9/30/2020,ENV-20-18812,Litter,"3107 KETTERING Dr, SOUTH BEND IN 46635",3107 KETTERING,Closed,
9/30/2020,ENV-20-18811,Vegetation,"1121 N ELMER St, SOUTH BEND IN 46628",1121 N ELMER,Review Case for Collections,
9/30/2020,ENV-20-18810,Grass and Weeds,"1121 N ELMER St, SOUTH BEND IN 46628",1121 N ELMER,Closed,
9/30/2020,ENV-20-18809,Litter,"1138 HUEY St, SOUTH BEND IN 46628",1138 HUEY,Closed,
9/30/2020,ENV-20-18808,Grass and Weeds,"919 DOVER Dr, SOUTH BEND IN 46614",919 DOVER,Closed,
9/30/2020,ENV-20-18807,Litter,"2022 W INDIANA Ave, SOUTH BEND IN 46613",2022 W INDIANA,Closed,
9/30/2020,ENV-20-18806,Litter,"1125 N ELMER St, SOUTH BEND IN 46628",1125 N ELMER,Closed,
9/30/2020,ENV-20-18805,Litter,"3422 SORIN St, SOUTH BEND IN 46615",3422 SORIN,Closed,
9/30/2020,ENV-20-18804,Litter,"1154 N OLIVE St, SOUTH BEND IN 46628",1154 N OLIVE,Closed,
9/30/2020,ENV-20-18803,Litter,"3526 CORBY Blvd, SOUTH BEND IN 46615",3526 CORBY,Closed,
