Date,Record Number,Record Type,Status,Address,parcel_id,site_address,Site_city,Site_zip Code,mail_address,mail_city,mail_state,mail_zip,land_value,bldg_value,total_market_value
2/9/2021,COD2021-00606,Code Enforcement Case,Enforcement,5435 Cushing Pkwy,,,,,,,,,,,
2/9/2021,COD2021-00605,Code Enforcement Case,Unfounded,1828 Nakoma Ct,519-1668-15,1828 NAKOMA CT,FREMONT,94539,P O BOX 3337 OAK,PARK,IL,60303,"$624,240 ","$1,102,824 ","$1,727,064 "
2/9/2021,COD2021-00604,Code Enforcement Case,Enforcement,920 Arikara Dr,519-1679-72,920 ARIKARA DR,FREMONT,94539,2955 FAIRMONT AVE,CLOVIS,CA,93611,"$394,642 ","$702,464 ","$1,097,106 "
2/9/2021,ENV2021-00027,Environmental Case,Received,5255 Mowry Ave,531-10-7-2,5255 MOWRY AVE,FREMONT,94538,PO BOX 726,FREMONT,CA,94537,"$388,807 ","$996,475 ","$1,385,282 "
2/8/2021,ENV2021-00026,Environmental Case,Received,227 Bear Ct,519-1706-45,227 BEAR CT,FREMONT,94539,227 BEAR CT,FREMONT,CA,94539,"$384,622 ","$744,518 ","$1,129,140 "
2/8/2021,ENV2021-00025,Environmental Case,Received,952 Sundance Dr,519-1671-55,952 SUNDANCE DR,FREMONT,94539,952 SUNDANCE DR,FREMONT,CA,94539,"$349,596 ","$815,725 ","$1,158,321 "
2/8/2021,ENV2021-00024,Environmental Case,Received,942 Sundance Dr,519-1671-54,942 SUNDANCE DR,FREMONT,94539,942 SUNDANCE DR,FREMONT,CA,94539,"$730,945 ","$1,191,878 ","$1,915,823 "
2/8/2021,ENV2021-00023,Environmental Case,Received,2673 Washington Blvd,525-486-6,2673 WASHINGTON BLVD,FREMONT,94539,2673 WASHINGTON BLVD,FREMONT,CA,94539,"$28,920 ","$222,769 ","$244,689 "
2/8/2021,ENV2021-00022,Environmental Case,Received,2691 Washington Blvd,525-486-5-1,2691 WASHINGTON BLVD,FREMONT,94539,2691 WASHINGTON BLVD,FREMONT,CA,94539,"$769,244 ","$500,008 ","$1,262,252 "
2/5/2021,COD2021-00603,Code Enforcement Case,Unfounded,42875 Parkwood St,525-1271-134,42875 PARKWOOD ST,FREMONT,94538,42875 PARKWOOD ST,FREMONT,CA,94538,"$164,190 ","$394,594 ","$551,784 "
2/4/2021,COD2021-00602,Code Enforcement Case,Enforcement,5533 Stevenson Blvd,531-32-6,5533 STEVENSON BLVD,FREMONT,94538,9330 BALBOA AVE SAN,DIEGO,CA,92123,"$1,576,344 ","$337,788 ","$1,914,132 "
2/3/2021,ENV2021-00021,Environmental Case,Enforcement,5499 Truman Pl,531-20-102,5499 TRUMAN PL,FREMONT,94538,5499 TRUMAN PL,FREMONT,CA,94538,"$19,280 ","$49,769 ","$62,049 "
